iso3,year,milex_const_usd,milex_current_usd,milex_gdp_share,gdp_const_usd,ln_milex_const_usd,ln_gdp_const_usd
CMR,2005,290.587837632906,223.084623143015,0.0114390062434822,25403241457.13962,19.487416455619332,23.95814261925144
CMR,2006,315.615149377662,256.92784333225,0.0122979394296967,25664067641.73223,19.570034147614304,23.96835770429304
CMR,2007,331.014139426659,296.698917304968,0.0124159299291596,26660438752.0947,19.617671649730063,24.006446608879433
CMR,2008,342.980081473906,346.586125657373,0.012555907411193,27316232132.14805,19.65318293193935,24.030746946037702
CMR,2009,347.608599428343,343.265153985929,0.0123383418917622,28173039982.01143,19.666587690486615,24.061631328596587
CMR,2010,371.331640976255,354.054397842016,0.0128837517696819,28821700977.66663,19.732606132258436,24.084394446514043
CMR,2011,337.292561120908,347.477885670932,0.0113588889236589,29694150844.135555,19.636461245596294,24.11421592208469
CMR,2012,362.310751413869,354.447463111647,0.0117534857560788,30825812778.68866,19.7080128308704,24.15161825316546
CMR,2013,380.747886808726,392.840630898917,0.0116504114303499,32681067882.019928,19.757647999648572,24.21006178333273
CMR,2014,382.449622762553,401.529118101393,0.0110497962306915,34611463847.656784,19.762107497361033,24.267450789210844
CMR,2015,392.598787094084,353.815494553489,0.0109889864309409,35726569466.740974,19.788298750382822,24.299160491686546
CMR,2016,427.274390058347,387.43783087299,0.0114642434992604,37270177494.56491,19.8729369644824,24.341459312824007
CMR,2017,440.977599487764,408.157575135561,0.0113837382188187,38737503534.539696,19.904504637308694,24.380074051303634
CMR,2018,436.857098803533,429.89218057235,0.0107600981816736,40599731659.28726,19.89511669455582,24.427027294155096
CMR,2019,441.634935340175,422.294771980244,0.0106457837839838,41484492293.0521,19.905994160622736,24.44858551466192
CMR,2020,394.337207560127,393.299390063774,0.0096440732254506,40889072318.47593,19.792716957977245,24.434128683818745
CMR,2021,418.935476657238,443.336832005677,0.00978117031343036,42830813004.24805,19.853227472370026,24.480523610514663
CMR,2022,416.638021640202,416.638021640202,0.00942511872454016,44205068797.2134,19.847728349165738,24.512105298124954
